hour,Home,Work,At Work,School,Escort,Social,Shopping,Other,Eat Out
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,12.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
10,9.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
11,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
12,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
13,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
14,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,5.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0
16,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0
17,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
18,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
