start_lon,start_lat,end_lon,end_lat
-121.859327,37.3736874,-121.8481911,37.3451308
-121.8481911,37.3451308,-121.9026214,37.3818264
-121.902763,37.3818597,-121.8906947,37.4029753
-121.8906947,37.4029753,-121.8910972,37.3650221
-121.859327,37.3736874,-121.8481911,37.3451308
-121.8481911,37.3451308,-121.8959023,37.3822827
-121.8910972,37.3650221,-121.8992052,37.3875611
-121.8959023,37.3822827,-121.8918212,37.3653272
-121.8992052,37.3875611,-121.8738344,37.386
-121.874072,37.3862216,-121.8646692,37.382724
-121.8918212,37.3653272,-121.8732556,37.3955416
-121.8653712,37.3819797,-121.9021518,37.3967535
-121.8734065,37.3956546,-121.8830619,37.4040451
-121.8830619,37.4040451,-121.8957278,37.3782587
-121.8955485,37.37826,-121.8933724,37.3711863
-121.9026524,37.3991878,-121.8605209,37.3577877
-121.8605209,37.3577877,-121.8920274,37.3668082
-121.8933724,37.3711863,-121.8863766,37.3870747
-121.8918212,37.3653272,-121.9026646,37.399481
-121.8895608,37.3851408,-121.8738892,37.3747067
-121.8765903,37.3777402,-121.894104,37.3717061
-121.9026646,37.399481,-121.8592534,37.35105
-121.894104,37.3717061,-121.8407276,37.3555621
-121.8405232,37.3555468,-121.848453,37.3453979
-121.8600096,37.3506843,-121.8633077,37.3709682
-121.8633077,37.3709682,-121.8673423,37.3796763
-121.8481911,37.3451308,-121.8549172,37.3622053
-121.8662934,37.3791604,-121.8784818,37.3903333
-121.8549172,37.3622053,-121.8671637,37.3532378
-121.878059,37.3899391,-121.8955485,37.37826
-121.8955357,37.3798626,-121.8932812,37.3709362
-121.8671637,37.3532378,-121.9015194,37.3936131
-121.9015194,37.3936131,-121.9006864,37.3908869
-121.9006864,37.3908869,-121.902295,37.4041816
-121.8933724,37.3711863,-121.8720538,37.3746644
-121.9028429,37.4037428,-121.8830619,37.4040451
-121.8720538,37.3746644,-121.8957278,37.3782587
-121.8830619,37.4040451,-121.8654964,37.3864331
