hour,shopping,school,eatout,escort,work,Home,othmaint,social,othdiscr,univ,Work
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,10.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0
9,1.0,2.0,2.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
10,5.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0
11,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
12,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0
13,5.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,2.0,1.0,2.0
14,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0
15,3.0,0.0,0.0,5.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0
16,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0
17,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
19,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
