hour,Home,Work,At Work,School,Escort,Social,Shopping,Other,Eat Out
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
10,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
12,9.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0
13,9.0,0.0,2.0,0.0,2.0,0.0,2.0,5.0,0.0
14,4.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0
15,9.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0
16,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0
17,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
18,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
20,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
