start_lon,start_lat,end_lon,end_lat
-121.9499197,37.3042089,-121.9841022,37.3230557
-121.9841022,37.3230557,-121.9422408,37.3160721
-121.9422408,37.3160721,-121.9499675,37.3094595
-121.9499881,37.3117707,-121.9548343,37.3088375
-121.9512882,37.3088552,-121.9845655,37.2879628
-121.9838578,37.2877948,-121.989382,37.2900633
-121.9894063,37.289945,-121.9927594,37.3229864
-121.9499384,37.3064466,-121.9719599,37.293912
-121.9681272,37.2940492,-121.9790658,37.2934348
-121.9927594,37.3229864,-121.9500511,37.3015477
-121.9796791,37.2933301,-121.9901659,37.309221
-121.9901659,37.309221,-121.9580392,37.3088216
-121.9500511,37.3015477,-121.9422408,37.3160721
-121.9422408,37.3160721,-121.950188,37.326929
-121.950188,37.326929,-121.9598244,37.3232816
-121.9580392,37.3088216,-121.9494068,37.3092461
-121.9593813,37.3232834,-121.9841022,37.3230557
-121.9494068,37.3092461,-121.9755358,37.3210667
-121.9730457,37.3201524,-121.9925257,37.3229892
-121.9841022,37.3230557,-121.9859352,37.297163
-121.9841957,37.2987191,-121.9838578,37.2877948
-121.9903997,37.3229938,-121.9500276,37.3172908
-121.9838578,37.2877948,-121.9660532,37.3048154
-121.9500367,37.3187801,-121.9501937,37.3138339
-121.9660532,37.3048154,-121.9776754,37.286327
-121.9502022,37.3145502,-121.9733435,37.2862739
-121.9729057,37.2863002,-121.9881335,37.294996
-121.9776754,37.286327,-121.9499713,37.2941829
-121.9881335,37.294996,-121.9903997,37.3229938
-121.9499713,37.2941829,-121.9937277,37.322975
-121.9925257,37.3229892,-121.978176,37.3081762
-121.9937277,37.322975,-121.9698623,37.3010387
-121.978176,37.3081762,-121.9698623,37.3010387
-121.9698623,37.3010387,-121.949973,37.2943287
-121.9698623,37.3010387,-121.949973,37.2943287
-121.950566,37.2943292,-121.9397752,37.2943547
-121.949973,37.2943287,-121.9787609,37.2865847
-121.9397752,37.2943547,-121.9500474,37.3209656
-121.9500393,37.3191939,-121.963612,37.3233225
-121.9812954,37.2871864,-121.9763301,37.3153963
-121.9768684,37.3143318,-121.9598244,37.3232816
-121.9598244,37.3232816,-121.950188,37.326929
-121.9627029,37.3232454,-121.9498436,37.296596
-121.9498419,37.2968559,-121.949973,37.2943287
-121.949993,37.2957475,-121.9698623,37.3010387
-121.950188,37.326929,-121.9812395,37.3015078
-121.9803441,37.3025649,-121.9881335,37.294996
-121.9698623,37.3010387,-121.983763,37.308663
-121.983763,37.308663,-121.9824004,37.3230671
-121.9890128,37.2942355,-121.9494068,37.3092461
-121.9824004,37.3230671,-121.9768684,37.3143318
-121.9425174,37.3093676,-121.9690133,37.323141
-121.9763301,37.3153963,-121.9743466,37.2938266
-121.9766272,37.293745,-121.949973,37.2943287
-121.9690133,37.323141,-121.9627029,37.3232454
-121.950566,37.2943292,-121.950188,37.326929
-121.963612,37.3233225,-121.9705077,37.3083952
-121.9702238,37.3084062,-121.9844816,37.2982431
-121.9817061,37.300711,-121.9766224,37.286077
-121.9776754,37.286327,-121.9499336,37.2870242
-121.950188,37.326929,-121.9790658,37.2934348
-121.9796791,37.2933301,-121.9873226,37.3231631
-121.9499336,37.2870242,-121.9498614,37.3015453
