start_lon,start_lat,end_lon,end_lat
-121.9991708,37.3739027,-122.013285,37.3666221
-122.013285,37.3666221,-122.0141079,37.3886074
-122.0146289,37.3887171,-122.0030319,37.3912548
-122.0030319,37.3912548,-122.0049869,37.3521193
-122.0019105,37.3741075,-122.000545,37.3884902
-122.0006355,37.388488,-121.9959707,37.3584241
-122.0049869,37.3521193,-121.9962638,37.3667943
-121.9962638,37.3667943,-122.0257989,37.3759407
-122.0250454,37.375552,-122.0239095,37.3875026
-122.0245283,37.3877066,-121.9960252,37.3872148
-121.9960544,37.3560345,-121.9962638,37.3667943
-121.9962638,37.3667943,-122.0257989,37.3759407
-121.9960252,37.3872148,-122.0141079,37.3886074
-122.0119156,37.388497,-122.0141494,37.3915936
-122.0257989,37.3759407,-122.0036266,37.3670771
-122.0141494,37.3915936,-122.013285,37.3666221
-122.0036266,37.3670771,-122.010351,37.3521258
-122.013768,37.3666158,-121.9985896,37.3668387
-122.0098664,37.3521215,-122.0150023,37.3537199
-121.9985896,37.3668387,-122.0245283,37.3877066
-122.0150023,37.3537199,-122.013285,37.3666221
-122.013285,37.3666221,-122.0090803,37.3824095
-122.0090803,37.3824095,-122.0119156,37.388497
-122.0119156,37.388497,-122.0245283,37.3877066
-122.0245283,37.3877066,-122.0074229,37.3521203
-122.0245283,37.3877066,-122.0010006,37.3521742
-122.0078581,37.3521205,-121.9979401,37.3868744
-121.9982902,37.3873685,-122.0204686,37.3732595
-122.0207689,37.3733811,-122.0010006,37.3521742
-121.9996451,37.3521942,-122.0182563,37.3816627
-122.0182563,37.3816627,-122.0049869,37.3521193
-122.0049869,37.3521193,-122.0177816,37.3559053
-122.0165821,37.354909,-122.0257989,37.3759407
-122.0257989,37.3759407,-122.0080976,37.3883049
-121.9996451,37.3521942,-122.0177816,37.3559053
-122.0080976,37.3883049,-122.010351,37.3521258
-122.0165821,37.354909,-122.0239095,37.3875026
-122.0098664,37.3521215,-121.9996747,37.3668176
-122.0027435,37.3667649,-122.0000445,37.3885023
-122.0239095,37.3875026,-122.010351,37.3521258
-122.010351,37.3521258,-122.0080976,37.3883049
-121.9990753,37.3882514,-122.010351,37.3521258
-122.010351,37.3521258,-122.0257989,37.3759407
-122.0080976,37.3883049,-122.0000445,37.3885023
-122.000545,37.3884902,-122.0049869,37.3521193
-122.0257989,37.3759407,-122.0080976,37.3883049
-122.0080976,37.3883049,-122.0079514,37.366692
