hour,Home,Work,At Work,School,Escort,Social,Shopping,Other,Eat Out,univ
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,0.0,13.0,6.0,0.0,0.0,1.0,0.0,0.0
9,3.0,3.0,0.0,13.0,4.0,0.0,3.0,2.0,0.0,0.0
10,4.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0
11,3.0,0.0,0.0,2.0,6.0,0.0,5.0,4.0,0.0,0.0
12,8.0,1.0,0.0,3.0,4.0,1.0,5.0,3.0,1.0,1.0
13,8.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0
14,9.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0
15,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0
16,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
17,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
19,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
