hour,Home,Work,At Work,School,Escort,Social,Shopping,Other,Eat Out,univ
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,24.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
10,9.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
11,13.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0
12,18.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,1.0
13,6.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0
14,6.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0
15,2.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,1.0,1.0
16,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
17,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0
19,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
