start_lon,start_lat,end_lon,end_lat
-121.7919477,37.3147062,-121.7933871,37.2972214
-121.7933871,37.2972214,-121.7923513,37.3247986
-121.7919477,37.3147062,-121.7720262,37.3169278
-121.7720262,37.3169278,-121.7637511,37.2999052
-121.7923513,37.3247986,-121.7925645,37.313731
-121.7916283,37.3138685,-121.8028427,37.2998023
-121.7637511,37.2999052,-121.8141428,37.310852
-121.8136372,37.3104313,-121.8229361,37.3192689
-121.8229361,37.3192689,-121.8078329,37.3161696
-121.8081001,37.3162475,-121.797062,37.3249173
-121.8035014,37.3003758,-121.7852478,37.295811
-121.7855773,37.2958667,-121.7552418,37.3005622
-121.7968884,37.3248879,-121.8187752,37.3208557
-121.7552418,37.3005622,-121.782862,37.33174
-121.782862,37.33174,-121.8105827,37.3274216
-121.8187752,37.3208557,-121.7833972,37.3093858
-121.7834886,37.3094437,-121.7852478,37.295811
-121.8106173,37.3274797,-121.7916283,37.3138685
-121.7855773,37.2958667,-121.8124898,37.3306233
-121.7925645,37.313731,-121.7856973,37.3248404
-121.7873796,37.3248299,-121.7714503,37.3313865
-121.8122765,37.3302652,-121.8206594,37.3197489
-121.7714503,37.3313865,-121.7775296,37.3057287
-121.8206594,37.3197489,-121.8025436,37.3123961
-121.8025436,37.3123961,-121.7917336,37.3140403
-121.7775296,37.3057287,-121.7933871,37.2972214
-121.7862618,37.3106235,-121.8028427,37.2998023
-121.8028427,37.2998023,-121.8181792,37.3212081
-121.7940632,37.2973016,-121.7700932,37.3070643
-121.767252,37.3074348,-121.7618785,37.3130146
-121.8187752,37.3208557,-121.7916283,37.3138685
-121.7646005,37.312598,-121.7714503,37.3313865
-121.7916283,37.3138685,-121.7933871,37.2972214
-121.7933871,37.2972214,-121.8061684,37.302147
-121.7714503,37.3313865,-121.8154451,37.3038618
-121.80532,37.301542,-121.7821582,37.32494
-121.7821582,37.32494,-121.7714503,37.3313865
-121.8155909,37.3037789,-121.8093216,37.3053879
-121.8093216,37.3053879,-121.80532,37.301542
-121.80532,37.301542,-121.814679,37.3111326
-121.7725209,37.333744,-121.7700095,37.3258542
-121.814679,37.3111326,-121.7999019,37.3331077
-121.7703415,37.3258292,-121.7634218,37.3182104
-121.7999019,37.3331077,-121.7606995,37.3189376
-121.7633663,37.3183448,-121.7852478,37.295811
-121.7852478,37.295811,-121.7933871,37.2972214
-121.7933871,37.2972214,-121.8019193,37.3123552
-121.7606995,37.3189376,-121.7552418,37.3005622
-121.8040751,37.312019,-121.7862618,37.3106235
-121.7862618,37.3106235,-121.7756676,37.3130199
-121.7551245,37.3004748,-121.8060191,37.302174
-121.7756676,37.3130199,-121.7933871,37.2972214
-121.7933871,37.2972214,-121.8061684,37.302147
-121.8060191,37.302174,-121.7933871,37.2972214
-121.8061684,37.302147,-121.7822321,37.3246595
-121.7933871,37.2972214,-121.7833972,37.3093858
-121.7833972,37.3093858,-121.7822321,37.3246595
-121.7822321,37.3246595,-121.782862,37.33174
-121.7821582,37.32494,-121.7852478,37.295811
-121.7821582,37.32494,-121.8206594,37.3197489
-121.7852478,37.295811,-121.8181792,37.3212081
-121.8190402,37.3206999,-121.8154451,37.3038618
-121.8181792,37.3212081,-121.8163704,37.3125326
-121.8163704,37.3125326,-121.8158247,37.3226046
-121.8155909,37.3037789,-121.7852478,37.295811
-121.8158247,37.3226046,-121.8025436,37.3123961
-121.7855773,37.2958667,-121.770598,37.3073447
-121.8025436,37.3123961,-121.800715,37.3354787
-121.770598,37.3073447,-121.7990103,37.3304284
-121.7990103,37.3304284,-121.8187752,37.3208557
-121.8007507,37.3356124,-121.7714503,37.3313865
-121.8181792,37.3212081,-121.7852478,37.295811
-121.7714503,37.3313865,-121.8154451,37.3038618
-121.7855773,37.2958667,-121.7967403,37.3244195
-121.7964362,37.3231188,-121.7700095,37.3258542
-121.8155909,37.3037789,-121.7862618,37.3106235
-121.7862618,37.3106235,-121.8167979,37.3220247
-121.7703415,37.3258292,-121.7552418,37.3005622
-121.8167979,37.3220247,-121.8187752,37.3208557
-121.8187752,37.3208557,-121.8104668,37.327227
-121.7551245,37.3004748,-121.8141428,37.310852
-121.8136372,37.3104313,-121.8187752,37.3208557
-121.8104668,37.327227,-121.7848684,37.295808
-121.7848684,37.295808,-121.770598,37.3073447
-121.8187752,37.3208557,-121.8025436,37.3123961
-121.8025436,37.3123961,-121.7990103,37.3304284
-121.7700932,37.3070643,-121.7755859,37.3034551
-121.7779362,37.3059293,-121.8035014,37.3003758
-121.8027448,37.2998354,-121.8061684,37.302147
-121.7990103,37.3304284,-121.8187752,37.3208557
-121.8181792,37.3212081,-121.8229361,37.3192689
-121.8061684,37.302147,-121.8162607,37.3223424
-121.8229361,37.3192689,-121.8028427,37.2998023
-121.8167979,37.3220247,-121.7990103,37.3304284
-121.7990103,37.3304284,-121.7756676,37.3130199
-121.8028427,37.2998023,-121.766689,37.3246835
-121.772949,37.3125373,-121.8079536,37.3115513
-121.8078346,37.3120763,-121.8206594,37.3197489
-121.7622566,37.3209594,-121.7720262,37.3169278
-121.8206594,37.3197489,-121.810795,37.3277781
-121.8106173,37.3274797,-121.7990103,37.3304284
-121.7720262,37.3169278,-121.7990103,37.3304284
-121.7987978,37.330454,-121.8027448,37.2998354
-121.7989135,37.3301443,-121.8122765,37.3302652
-121.8035014,37.3003758,-121.7779362,37.3059293
-121.8124898,37.3306233,-121.7848684,37.295808
-121.7779362,37.3059293,-121.7848684,37.295808
-121.7848684,37.295808,-121.8181792,37.3212081
-121.7848684,37.295808,-121.7933871,37.2972214
-121.7933871,37.2972214,-121.7916283,37.3138685
