hour,Home,Work,At Work,School,Escort,Social,Shopping,Other,Eat Out,univ
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
9,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
10,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,6.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0
12,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,9.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
15,4.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0
16,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
17,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
18,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
19,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
