start_lon,start_lat,end_lon,end_lat
-121.6122857,37.0318885,-121.5676652,36.9997543
-121.5676652,36.9997543,-121.5673223,37.0220496
-121.6122857,37.0318885,-121.568671,37.0067647
-121.5680713,37.0217818,-121.6236536,37.0256805
-121.5697385,37.0064589,-121.6076867,37.033059
-121.6236536,37.0256805,-121.5723818,37.0146524
-121.6122857,37.0318885,-121.5770905,37.0043532
-121.5770905,37.0043532,-121.6076867,37.033059
-121.5725532,37.0149904,-121.6236536,37.0256805
-121.6236536,37.0256805,-121.5746851,37.0191927
-121.6122857,37.0318885,-121.6076867,37.033059
-121.6076867,37.033059,-121.5862351,37.0233999
-121.5746851,37.0191927,-121.6236536,37.0256805
-121.6236536,37.0256805,-121.6076867,37.033059
-121.5862351,37.0233999,-121.6236536,37.0256805
-121.6236536,37.0256805,-121.5770905,37.0043532
-121.6076867,37.033059,-121.5868091,37.0081183
-121.57923,37.009117,-121.5731804,36.9913349
-121.5868091,37.0081183,-121.5614677,37.0015521
-121.5731804,36.9913349,-121.6122857,37.0318885
-121.5614677,37.0015521,-121.5656805,37.0003423
-121.5656805,37.0003423,-121.5732718,37.0108863
-121.5708715,37.0115883,-121.5865584,37.0234199
-121.5865584,37.0234199,-121.60884,37.0204582
-121.6076867,37.033059,-121.6236536,37.0256805
-121.60884,37.0204582,-121.5996873,37.0132326
-121.6236536,37.0256805,-121.5865584,37.0234199
-121.5996873,37.0132326,-121.5867205,37.0047419
-121.5915505,37.0229041,-121.5776181,37.0248915
-121.5761293,37.0220006,-121.5797005,37.0289353
-121.5797005,37.0289353,-121.5702154,36.9990067
-121.5702154,36.9990067,-121.5614677,37.0015521
-121.5614677,37.0015521,-121.5681463,36.9996128
-121.5681463,36.9996128,-121.5996873,37.0132326
-121.5866759,37.0030416,-121.6076867,37.033059
-121.5996873,37.0132326,-121.60884,37.0204582
-121.60884,37.0204582,-121.5981474,37.0280094
-121.6076867,37.033059,-121.5776181,37.0248915
-121.5981474,37.0280094,-121.5708715,37.0115883
-121.5732718,37.0108863,-121.5671877,37.0036026
-121.5776181,37.0248915,-121.5772362,37.0194249
-121.5772362,37.0194249,-121.5723818,37.0146524
-121.5725532,37.0149904,-121.5996873,37.0132326
-121.5996873,37.0132326,-121.60884,37.0204582
-121.60884,37.0204582,-121.5801316,37.0297725
-121.5671877,37.0036026,-121.6076867,37.033059
-121.6076867,37.033059,-121.5770808,37.0192425
-121.5801316,37.0297725,-121.5986874,37.0080002
-121.5986874,37.0080002,-121.6076867,37.033059
-121.586639,37.0168711,-121.5681463,36.9996128
-121.5681463,36.9996128,-121.586639,37.0168711
-121.6122857,37.0318885,-121.5862351,37.0233999
-121.5865584,37.0234199,-121.5614677,37.0015521
-121.5866672,37.013494,-121.6236536,37.0256805
-121.5614677,37.0015521,-121.5731804,36.9913349
-121.6236536,37.0256805,-121.5816747,37.0256988
-121.5731804,36.9913349,-121.5776181,37.0248915
-121.5776181,37.0248915,-121.5731804,36.9913349
-121.5731804,36.9913349,-121.5862351,37.0233999
-121.5816747,37.0256988,-121.5767963,37.0044374
-121.5767963,37.0044374,-121.5981474,37.0280094
-121.5981474,37.0280094,-121.5996873,37.0132326
-121.5996873,37.0132326,-121.5770808,37.0192425
-121.5772362,37.0194249,-121.5761293,37.0220006
-121.5761293,37.0220006,-121.6076867,37.033059
-121.5862351,37.0233999,-121.5865584,37.0234199
-121.5865584,37.0234199,-121.5866672,37.013494
-121.586639,37.0168711,-121.5670212,37.0032476
-121.5670449,37.0032981,-121.5681463,36.9996128
-121.5676652,36.9997543,-121.5731804,36.9913349
-121.6122857,37.0318885,-121.5673223,37.0220496
-121.5731804,36.9913349,-121.5862351,37.0233999
-121.5673223,37.0220496,-121.5981474,37.0280094
-121.5865584,37.0234199,-121.5670212,37.0032476
-121.5670212,37.0032476,-121.5603133,37.0096089
-121.5981474,37.0280094,-121.5865584,37.0234199
-121.5915505,37.0229041,-121.5614677,37.0015521
-121.5583964,37.0075508,-121.5865584,37.0234199
-121.5862351,37.0233999,-121.60884,37.0204582
-121.5614677,37.0015521,-121.568671,37.0067647
-121.5671877,37.0036026,-121.5868016,37.0078352
-121.5868016,37.0078352,-121.5862351,37.0233999
-121.60884,37.0204582,-121.5694797,37.0025456
-121.5865584,37.0234199,-121.5803104,37.0230337
-121.5694797,37.0025456,-121.5676652,36.9997543
-121.5795615,37.0221545,-121.6122857,37.0318885
-121.6122857,37.0318885,-121.6076867,37.033059
-121.5676652,36.9997543,-121.5868091,37.0081183
-121.5868016,37.0078352,-121.5797005,37.0289353
-121.6122857,37.0318885,-121.6076867,37.033059
-121.6076867,37.033059,-121.5862351,37.0233999
-121.5865584,37.0234199,-121.5824985,37.0343689
-121.5824985,37.0343689,-121.5723818,37.0146524
-121.5780394,37.0257096,-121.6076867,37.033059
-121.5723818,37.0146524,-121.5865584,37.0234199
-121.6076867,37.033059,-121.5816747,37.0256988
-121.5915505,37.0229041,-121.5737436,37.0053117
-121.5816747,37.0256988,-121.5865584,37.0234199
-121.5862351,37.0233999,-121.5694797,37.0025456
-121.5737436,37.0053117,-121.6076867,37.033059
-121.5681463,36.9996128,-121.6236536,37.0256805
-121.6076867,37.033059,-121.5614677,37.0015521
-121.6236536,37.0256805,-121.568671,37.0067647
-121.5603133,37.0096089,-121.5996873,37.0132326
-121.5996873,37.0132326,-121.5761293,37.0220006
-121.5614677,37.0015521,-121.586677,37.0131196
-121.5761293,37.0220006,-121.5816747,37.0256988
-121.586677,37.0131196,-121.5976406,37.0330303
-121.5816747,37.0256988,-121.5819186,37.0002953
-121.5818666,37.0029853,-121.5694797,37.0025456
-121.5694797,37.0025456,-121.5737686,36.9972122
-121.5737186,36.9971327,-121.5862351,37.0233999
-121.5862351,37.0233999,-121.5816266,37.0030539
-121.5816266,37.0030539,-121.5816747,37.0256988
-121.5976406,37.0330303,-121.5614677,37.0015521
-121.5803104,37.0230337,-121.5976406,37.0330303
-121.5976406,37.0330303,-121.586677,37.0131196
-121.5614677,37.0015521,-121.6076867,37.033059
-121.586677,37.0131196,-121.5731804,36.9913349
-121.6122857,37.0318885,-121.5776181,37.0248915
-121.5731804,36.9913349,-121.5797005,37.0289353
-121.5776181,37.0248915,-121.6076867,37.033059
-121.5797005,37.0289353,-121.5770905,37.0043532
-121.5770905,37.0043532,-121.5981474,37.0280094
-121.6122857,37.0318885,-121.5809652,37.0313912
-121.5981474,37.0280094,-121.5865584,37.0234199
-121.5809652,37.0313912,-121.6076867,37.033059
-121.5865584,37.0234199,-121.5739071,37.0052649
-121.6122857,37.0318885,-121.5754875,37.0207542
